id,name,longName,displayName,displayCode,x,y,LaneType,LaneName,LaneShort
11005,의정부시청,의정부시청역 의정부경전철,의정부시청역,U114,127.0348665,37.7392416,110,의정부경전철,의정부
11006,흥선,흥선역 의정부경전철,흥선역,U115,127.0371208,37.7432932,110,의정부경전철,의정부
11007,의정부중앙,의정부중앙역 의정부경전철,의정부중앙역,U117,127.0496635,37.7436839,110,의정부경전철,의정부
11008,동오,동오역 의정부경전철,동오역,U118,127.0569791,37.7452685,110,의정부경전철,의정부
11009,새말,새말역 의정부경전철,새말역,U119,127.0637847,37.7488688,110,의정부경전철,의정부
11010,경기도청북부청사,경기도청북부청사역 의정부경전철,경기도청북부청사역,U120,127.071618,37.7507754,110,의정부경전철,의정부
11011,효자,효자역 의정부경전철,효자역,U121,127.0772809,37.7539992,110,의정부경전철,의정부
11012,곤제,곤제역 의정부경전철,곤제역,U122,127.0838461,37.7505337,110,의정부경전철,의정부
11013,어룡,어룡역 의정부경전철,어룡역,U123,127.0852264,37.7426961,110,의정부경전철,의정부
11014,송산,송산역 의정부경전철,송산역,U124,127.0872089,37.7372812,110,의정부경전철,의정부
11015,탑석,탑석역 의정부경전철,탑석역,U125,127.0889136,37.7335065,110,의정부경전철,의정부
11109,고색,고색역 수인분당선,고색역,K246,126.9802893,37.2496683,116,수인분당선,수인분당
11110,오목천,오목천역 수인분당선,오목천역,K247,126.964121,37.2434864,116,수인분당선,수인분당
11111,어천,어천역 수인분당선,어천역,K248,126.9089578,37.2500921,116,수인분당선,수인분당
11112,야목,야목역 수인분당선,야목역,K249,126.8840766,37.2611904,116,수인분당선,수인분당
11113,사리,사리역 수인분당선,사리역,K250,126.8571791,37.2909129,116,수인분당선,수인분당
11114,한대앞,한대앞역 수인분당선,한대앞역,K251,126.8531445,37.3102248,116,수인분당선,수인분당
11115,중앙,중앙역 수인분당선,중앙역,K252,126.8375964,37.3161041,116,수인분당선,수인분당
11116,고잔,고잔역 수인분당선,고잔역,K253,126.8222592,37.3168803,116,수인분당선,수인분당
11117,초지,초지역 수인분당선,초지역,K254,126.8052422,37.3210165,116,수인분당선,수인분당
11118,안산,안산역 수인분당선,안산역,K255,126.7880928,37.3273233,116,수인분당선,수인분당
11119,신길온천,신길온천역 수인분당선,신길온천역,K256,126.7663857,37.3379844,116,수인분당선,수인분당
11120,정왕,정왕역 수인분당선,정왕역,K257,126.7422567,37.3519972,116,수인분당선,수인분당
11121,오이도,오이도역 수인분당선,오이도역,K258,126.7388048,37.362651,116,수인분당선,수인분당
11122,월곶,월곶역 수인분당선,월곶역,K260,126.7426408,37.3918973,116,수인분당선,수인분당
11123,소래포구,소래포구역 수인분당선,소래포구역,K261,126.733547,37.4009748,116,수인분당선,수인분당
11124,인천논현,인천논현역 수인분당선,인천논현역,K262,126.7224215,37.4006386,116,수인분당선,수인분당
11125,호구포,호구포역 수인분당선,호구포역,K263,126.7086973,37.4016352,116,수인분당선,수인분당
11126,남동인더스파크,남동인더스파크역 수인분당선,남동인더스파크역,K264,126.6952494,37.407784,116,수인분당선,수인분당
11127,원인재,원인재역 수인분당선,원인재역,K265,126.6866059,37.4130941,116,수인분당선,수인분당
11128,연수,연수역 수인분당선,연수역,K266,126.6788826,37.4178721,116,수인분당선,수인분당
11129,송도,송도역 수인분당선,송도역,K267,126.6547039,37.4299506,116,수인분당선,수인분당
11131,인하대,인하대역 수인분당선,인하대역,K269,126.6498422,37.4482143,116,수인분당선,수인분당
11132,숭의,숭의역 수인분당선,숭의역,K270,126.638075,37.4609117,116,수인분당선,수인분당
11133,신포,신포역 수인분당선,신포역,K271,126.6245247,37.4684547,116,수인분당선,수인분당
11134,인천,인천역 수인분당선,인천역,K272,126.6173965,37.4765047,116,수인분당선,수인분당
11150,달월,달월역 수인분당선,달월역,K259,126.745449,37.380008,116,수인분당선,수인분당
11221,판교,판교역 경강선,판교역,K410,127.1112198,37.3947359,112,경강선,경강
11222,이매,이매역 경강선,이매역,K411,127.1272322,37.3947355,112,경강선,경강
11223,삼동,삼동역 경강선,삼동역,K412,127.2034615,37.4087369,112,경강선,경강
11224,경기광주,경기광주역 경강선,경기광주역,K413,127.2533132,37.3989242,112,경강선,경강
11225,초월,초월역 경강선,초월역,K414,127.3000099,37.3733942,112,경강선,경강
11226,곤지암,곤지암역 경강선,곤지암역,K415,127.3462002,37.3505293,112,경강선,경강
11227,신둔도예촌,신둔도예촌역 경강선,신둔도예촌역,K416,127.4052368,37.3155675,112,경강선,경강
11228,이천,이천역 경강선,이천역,K417,127.4420972,37.2642256,112,경강선,경강
11229,부발,부발역 경강선,부발역,K418,127.4903344,37.2604214,112,경강선,경강
11230,세종대왕릉,세종대왕릉역 경강선,세종대왕릉역,K419,127.5707764,37.2936379,112,경강선,경강
11231,여주,여주역 경강선,여주역,K420,127.6285832,37.2828819,112,경강선,경강
11321,북한산우이,북한산우이역 우이신설선,북한산우이역,S110,127.0127977,37.6629089,113,우이신설선,우이신설
11322,솔밭공원,솔밭공원역 우이신설선,솔밭공원역,S111,127.013278,37.6560475,113,우이신설선,우이신설
11323,4.19민주묘지,4.19민주묘지역 우이신설선,4.19민주묘지역,S112,127.0136693,37.6495536,113,우이신설선,우이신설
11324,가오리,가오리역 우이신설선,가오리역,S113,127.01681,37.6415589,113,우이신설선,우이신설
11325,화계,화계역 우이신설선,화계역,S114,127.0175118,37.6341179,113,우이신설선,우이신설
11326,삼양,삼양역 우이신설선,삼양역,S115,127.0181637,37.6269221,113,우이신설선,우이신설
11327,삼양사거리,삼양사거리역 우이신설선,삼양사거리역,S116,127.0205069,37.6213406,113,우이신설선,우이신설
11328,솔샘,솔샘역 우이신설선,솔샘역,S117,127.0135351,37.6202664,113,우이신설선,우이신설
11329,북한산보국문,북한산보국문역 우이신설선,북한산보국문역,S118,127.0081539,37.6122156,113,우이신설선,우이신설
11330,정릉,정릉역 우이신설선,정릉역,S119,127.0134944,37.6026666,113,우이신설선,우이신설
11331,성신여대입구,성신여대입구역 우이신설선,성신여대입구역,S120,127.016544,37.592412,113,우이신설선,우이신설
11332,보문,보문역 우이신설선,보문역,S121,127.0195556,37.5850248,113,우이신설선,우이신설
11333,신설동,신설동역 우이신설선,신설동역,S122,127.0232133,37.576793,113,우이신설선,우이신설
11421,소사,소사역 서해선,소사역,S16,126.7949645,37.4832808,114,서해선,서해
11422,소새울,소새울역 서해선,소새울역,S17,126.7972911,37.46848,114,서해선,서해
11423,시흥대야,시흥대야역 서해선,시흥대야역,S18,126.7929771,37.450194,114,서해선,서해
11424,신천,신천역 서해선,신천역,S19,126.786751,37.439035,114,서해선,서해
11425,신현,신현역 서해선,신현역,S20,126.7878281,37.40968,114,서해선,서해
11427,시흥시청,시흥시청역 서해선,시흥시청역,S22,126.8059211,37.38148,114,서해선,서해
11428,시흥능곡,시흥능곡역 서해선,시흥능곡역,S23,126.8087339,37.3701572,114,서해선,서해
11429,달미,달미역 서해선,달미역,S24,126.8094012,37.3489244,114,서해선,서해
11430,선부,선부역 서해선,선부역,S25,126.8100031,37.334407,114,서해선,서해
11431,초지,초지역 서해선,초지역,S26,126.8080167,37.320001,114,서해선,서해
