x,y
127.0610492,37.9487472
127.0548497,37.9275741
127.0571632,37.9142651
127.0564208,37.901682
127.0557513,37.8923698
127.0615286,37.8432232
127.0567095,37.8187684
127.0447222,37.7742902
127.0422889,37.7594386
127.044272,37.7483704
127.0461031,37.7377829
127.0473391,37.7240454
127.047364,37.7105024
127.046063,37.6895524
127.0454881,37.67912
127.0443571,37.6674005
127.0479449,37.6527595
127.0514262,37.6446076
127.0588579,37.6331217
127.0617819,37.62368
127.0656829,37.6150489
127.0673912,37.6018093
127.0636088,37.5961565
127.0578003,37.5896861
127.0452708,37.5802055
127.0346952,37.5781798
127.0243812,37.5759889
127.0106727,37.5716881
127.0019483,37.5709993
126.9921477,37.570436
126.983197,37.5701764
126.9771405,37.5653656
126.9723173,37.555946
126.9713158,37.5406056
126.9644282,37.5296794
126.9416726,37.5140823
126.9264239,37.5134021
126.9186529,37.5168369
126.9076047,37.5158126
126.8915617,37.5090107
126.8824085,37.5031569
126.8695903,37.4962607
126.8591569,37.4945462
126.8447498,37.4944163
126.8239577,37.4924185
126.8119814,37.4852794
126.7957368,37.4827699
126.7828035,37.4840866
126.7642477,37.4867117
126.7528537,37.487646
126.7407068,37.4884743
126.7245174,37.4894813
126.7069848,37.4831587
126.702898,37.4708816
126.6934234,37.4647023
126.6797087,37.4650741
126.6686415,37.4661284
126.657523,37.4668232
126.6426106,37.4687095
126.6326162,37.475431
126.6169577,37.4763766
126.882559,37.4816348
126.8893964,37.4661067
126.8940088,37.4556516
126.9022515,37.4351714
126.9084945,37.4195895
126.9226534,37.4019344
126.9355901,37.3844429
126.9432978,37.3723648
126.9485391,37.3540063
126.9481135,37.32041
126.9711633,37.3003158
126.9895864,37.2839988
127.0000339,37.2662505
127.0137092,37.2441818
127.0332632,37.206849
127.0432867,37.1872948
127.0631028,37.169296
127.0667065,37.1453975
127.0623535,37.1097791
127.0481155,37.5803033
127.0385273,37.5615074
127.034487,37.5499582
127.0186724,37.5404742
127.0090019,37.5293678
126.9883749,37.5196188
126.9736508,37.5223792
127.0165891,37.5732462
126.975278,37.5635402
126.9822413,37.5660349
126.9910513,37.566288
126.9977332,37.5666212
127.0089225,37.5656726
127.0194523,37.5656686
127.0294629,37.5643212
127.0372542,37.5612277
127.0436383,37.5556316
127.0474048,37.5472059
127.0559819,37.5445688
127.0692761,37.5403719
127.0861583,37.5371437
127.0946953,37.5350976
127.103811,37.5206599
127.1001714,37.5133497
127.0856011,37.5116235
127.0736743,37.5110373
127.0631862,37.5088721
127.0492806,37.504585
127.0363766,37.5006431
127.027619,37.4979518
127.0143955,37.4939022
127.0077018,37.4918518
126.997667,37.4814956
126.9813633,37.4765746
126.9634281,37.4771195
126.9527295,37.4812072
126.9415857,37.4824773
126.9296992,37.4842313
126.9133458,37.4875627
126.9015943,37.4852148
